Index,Model,Percentile,CVE_MUN,Scenario,TimeAggregate,Year
1,1,90,20557,1,1,2094
1,1,90,20558,1,1,2095
1,1,90,20559,1,1,2096
1,1,90,20560,1,1,2097
1,1,90,20561,1,1,2098
1,1,90,20562,1,1,2099
1,1,90,20563,1,1,2100
1,1,10,20564,1,1,1974
1,1,10,20565,1,1,1981
1,1,10,20566,1,1,2009
1,1,10,20567,1,1,2058
1,1,10,20568,1,1,2063
1,1,90,20569,1,1,1992
1,1,90,20570,1,1,1995
1,1,90,21027,1,1,2005
1,1,90,21072,1,1,2006
1,1,90,21073,1,1,2018
1,1,90,21088,1,1,2020
1,1,90,21155,1,1,2030
1,1,90,21216,1,1,2031
1,1,90,21002,1,1,2034
1,1,90,21007,1,1,2035
1,1,90,21009,1,1,2037
1,1,90,21011,1,1,2038
1,1,90,21012,1,1,2039
1,1,90,21014,1,1,2043
1,1,90,21017,1,1,2044
1,1,90,21022,1,1,2045
1,1,90,21023,1,1,2049
1,1,90,21024,1,1,2051
1,1,90,21026,1,1,2052
1,1,90,21028,1,1,2054
1,1,90,21029,1,1,2056
1,1,90,21031,1,1,2057
1,1,90,21033,1,1,2059
1,1,90,21036,1,1,2060
1,1,90,21037,1,1,2061
1,1,90,21039,1,1,2062
1,1,90,21041,1,1,2064
1,1,90,21044,1,1,2065
1,1,90,21045,1,1,2066
1,1,90,21046,1,1,2067
1,1,90,21049,1,1,2068
1,1,90,21053,1,1,2069
1,1,90,21054,1,1,2070
1,1,90,21055,1,1,2071
1,1,90,21056,1,1,2072
1,1,90,21059,1,1,2073
1,1,90,21062,1,1,2074
1,1,90,21063,1,1,2076
1,1,90,21066,1,1,2077
1,1,90,21067,1,1,2078
1,1,90,21069,1,1,2079
1,1,90,21070,1,1,2080
1,1,90,21076,1,1,2081
1,1,90,21077,1,1,2082
1,1,90,21078,1,1,2083
1,1,90,21081,1,1,2084
1,1,90,21082,1,1,2085
1,1,90,21083,1,1,2086
1,1,90,21086,1,1,2087
1,1,90,21089,1,1,2088
1,1,90,21092,1,1,2089
1,1,90,21093,1,1,2090
1,1,90,21094,1,1,2091
1,1,90,21095,1,1,2092
1,1,90,21097,1,1,2093
1,1,90,21098,1,1,2094
1,1,90,21100,1,1,2095
1,1,90,21103,1,1,2096
1,1,90,21104,1,1,2097
1,1,90,21108,1,1,2098
1,1,90,21109,1,1,2099
1,1,90,21112,1,1,2100
1,1,10,21116,1,1,1973
1,1,10,21121,1,1,1974
1,1,10,21122,1,1,1977
